idx,condition_dataset_name,condition_query_name,condition_cond,parameter_value,luminous-supreme-control_int100query,gpt-4,gpt-3.5-turbo
86,cc,alien,annealing,0.0,70.0,100.0,50.0
87,cc,alien,annealing,0.0,70.0,100.0,50.0
88,cc,alien,annealing,0.0,70.0,100.0,50.0
89,cc,alien,annealing,0.0,70.0,100.0,50.0
90,cc,alien,annealing,0.0,70.0,100.0,50.0
91,cc,alien,annealing,0.0,70.0,100.0,50.0
92,cc,alien,annealing,0.0,70.0,100.0,50.0
93,cc,alien,annealing,0.0,70.0,100.0,50.0
94,cc,alien,annealing,0.0,70.0,100.0,50.0
95,cc,alien,annealing,0.0,70.0,100.0,50.0
96,cc,alien,annealing,0.0,70.0,100.0,50.0
97,cc,alien,annealing,0.0,70.0,100.0,50.0
98,cc,alien,annealing,0.0,70.0,100.0,50.0
99,cc,alien,annealing,0.0,70.0,100.0,50.0
100,cc,alien,annealing,0.1,70.0,100.0,50.0
101,cc,alien,annealing,0.1,70.0,100.0,50.0
102,cc,alien,annealing,0.1,70.0,100.0,50.0
103,cc,alien,annealing,0.1,70.0,100.0,50.0
104,cc,alien,annealing,0.1,70.0,100.0,50.0
105,cc,alien,annealing,0.1,70.0,100.0,50.0
106,cc,alien,annealing,0.1,70.0,100.0,50.0
107,cc,alien,annealing,0.1,70.0,100.0,50.0
108,cc,alien,annealing,0.1,70.0,100.0,50.0
109,cc,alien,annealing,0.1,70.0,100.0,50.0
110,cc,alien,annealing,0.1,70.0,100.0,50.0
111,cc,alien,annealing,0.1,70.0,100.0,50.0
112,cc,alien,annealing,0.1,70.0,100.0,50.0
113,cc,alien,annealing,0.1,70.0,100.0,50.0
114,cc,alien,annealing,0.1,70.0,100.0,50.0
115,cc,alien,annealing,0.1,70.0,100.0,50.0
116,cc,alien,annealing,0.1,70.0,100.0,50.0
117,cc,alien,annealing,0.1,70.0,100.0,50.0
118,cc,alien,annealing,0.1,70.0,100.0,50.0
119,cc,alien,annealing,0.1,70.0,100.0,50.0
120,cc,alien,annealing,0.1,70.0,100.0,50.0
121,cc,alien,annealing,0.1,70.0,100.0,50.0
122,cc,alien,annealing,0.1,70.0,100.0,50.0
123,cc,alien,annealing,0.1,70.0,100.0,50.0
124,cc,alien,annealing,0.1,70.0,100.0,50.0
125,cc,alien,annealing,0.1,70.0,100.0,50.0
126,cc,alien,annealing,0.1,70.0,100.0,50.0
127,cc,alien,annealing,0.1,70.0,100.0,50.0
128,cc,alien,annealing,0.1,70.0,100.0,50.0
129,cc,alien,annealing,0.1,70.0,100.0,50.0
130,cc,alien,annealing,0.1,70.0,100.0,50.0
131,cc,alien,annealing,0.1,70.0,100.0,50.0
132,cc,alien,annealing,0.1,70.0,100.0,50.0
133,cc,alien,annealing,0.1,70.0,100.0,50.0
134,cc,alien,annealing,0.1,70.0,100.0,50.0
135,cc,alien,annealing,0.1,70.0,100.0,50.0
136,cc,alien,annealing,0.1,70.0,100.0,50.0
137,cc,alien,annealing,0.1,70.0,100.0,50.0
138,cc,alien,annealing,0.1,70.0,100.0,50.0
139,cc,alien,annealing,0.1,70.0,100.0,50.0
140,cc,alien,annealing,0.1,70.0,100.0,50.0
141,cc,alien,annealing,0.1,70.0,100.0,50.0
142,cc,alien,annealing,0.1,70.0,100.0,50.0
143,cc,alien,annealing,0.1,70.0,100.0,50.0
144,cc,alien,annealing,0.1,70.0,100.0,50.0
145,cc,alien,annealing,0.1,70.0,100.0,50.0
146,cc,alien,annealing,0.1,70.0,100.0,50.0
147,cc,alien,annealing,0.1,70.0,100.0,50.0
148,cc,alien,annealing,0.1,70.0,100.0,50.0
149,cc,alien,annealing,0.1,70.0,100.0,50.0
150,cc,alien,annealing,0.1,70.0,100.0,50.0
151,cc,alien,annealing,0.1,70.0,100.0,50.0
152,cc,alien,annealing,0.1,70.0,100.0,50.0
153,cc,alien,annealing,0.1,70.0,100.0,50.0
154,cc,alien,annealing,0.1,70.0,100.0,50.0
155,cc,alien,annealing,0.1,70.0,100.0,50.0
156,cc,alien,annealing,0.1,70.0,100.0,50.0
157,cc,alien,annealing,0.1,70.0,100.0,50.0
158,cc,alien,annealing,0.1,70.0,100.0,50.0
159,cc,alien,annealing,0.1,70.0,100.0,50.0
160,cc,alien,annealing,0.1,70.0,100.0,50.0
161,cc,alien,annealing,0.1,70.0,100.0,50.0
162,cc,alien,annealing,0.1,70.0,100.0,50.0
163,cc,alien,annealing,0.1,70.0,100.0,50.0
164,cc,alien,annealing,0.1,70.0,100.0,50.0
165,cc,alien,annealing,0.1,70.0,100.0,50.0
166,cc,alien,annealing,0.1,70.0,100.0,50.0
167,cc,alien,annealing,0.1,70.0,100.0,50.0
168,cc,alien,annealing,0.1,70.0,100.0,50.0
169,cc,alien,annealing,0.1,70.0,100.0,50.0
170,cc,alien,annealing,0.1,70.0,100.0,50.0
171,cc,alien,annealing,0.1,70.0,100.0,50.0
172,cc,alien,annealing,0.1,70.0,100.0,50.0
173,cc,alien,annealing,0.1,70.0,100.0,50.0
174,cc,alien,annealing,0.1,70.0,100.0,50.0
175,cc,alien,annealing,0.1,70.0,100.0,50.0
176,cc,alien,annealing,0.1,70.0,100.0,50.0
177,cc,alien,annealing,0.1,70.0,100.0,50.0
178,cc,alien,annealing,0.1,70.0,100.0,50.0
179,cc,alien,annealing,0.1,70.0,100.0,50.0
180,cc,alien,annealing,0.1,70.0,100.0,50.0
181,cc,alien,annealing,0.1,70.0,100.0,50.0
182,cc,alien,annealing,0.1,70.0,100.0,50.0
183,cc,alien,annealing,0.1,70.0,100.0,50.0
184,cc,alien,annealing,0.1,70.0,100.0,50.0
185,cc,alien,annealing,0.1,70.0,100.0,50.0
186,cc,alien,annealing,0.1,70.0,100.0,50.0
187,cc,alien,annealing,0.1,70.0,100.0,50.0
188,cc,alien,annealing,0.1,70.0,100.0,50.0
189,cc,alien,annealing,0.1,70.0,100.0,50.0
190,cc,alien,annealing,0.1,70.0,100.0,50.0
191,cc,alien,annealing,0.1,70.0,100.0,50.0
192,cc,alien,annealing,0.1,70.0,100.0,50.0
193,cc,alien,annealing,0.1,70.0,100.0,50.0
194,cc,alien,annealing,0.1,70.0,100.0,50.0
195,cc,alien,annealing,0.1,70.0,100.0,50.0
196,cc,alien,annealing,0.1,70.0,100.0,50.0
197,cc,alien,annealing,0.1,70.0,100.0,50.0
198,cc,alien,annealing,0.1,70.0,100.0,50.0
199,cc,alien,annealing,0.1,70.0,100.0,50.0
200,cc,alien,annealing,0.2,70.0,100.0,50.0
201,cc,alien,annealing,0.2,70.0,100.0,50.0
202,cc,alien,annealing,0.2,70.0,100.0,50.0
203,cc,alien,annealing,0.2,70.0,100.0,50.0
204,cc,alien,annealing,0.2,70.0,100.0,50.0
205,cc,alien,annealing,0.2,70.0,100.0,50.0
206,cc,alien,annealing,0.2,70.0,100.0,50.0
207,cc,alien,annealing,0.2,70.0,100.0,50.0
208,cc,alien,annealing,0.2,70.0,100.0,50.0
209,cc,alien,annealing,0.2,70.0,100.0,50.0
210,cc,alien,annealing,0.2,70.0,100.0,50.0
211,cc,alien,annealing,0.2,70.0,100.0,50.0
212,cc,alien,annealing,0.2,60.0,100.0,50.0
213,cc,alien,annealing,0.2,70.0,100.0,50.0
214,cc,alien,annealing,0.2,70.0,100.0,50.0
215,cc,alien,annealing,0.2,70.0,100.0,50.0
216,cc,alien,annealing,0.2,60.0,100.0,50.0
217,cc,alien,annealing,0.2,70.0,100.0,50.0
218,cc,alien,annealing,0.2,60.0,100.0,50.0
219,cc,alien,annealing,0.2,70.0,100.0,50.0
220,cc,alien,annealing,0.2,70.0,100.0,50.0
221,cc,alien,annealing,0.2,60.0,100.0,50.0
222,cc,alien,annealing,0.2,70.0,100.0,50.0
223,cc,alien,annealing,0.2,70.0,100.0,50.0
224,cc,alien,annealing,0.2,70.0,100.0,50.0
225,cc,alien,annealing,0.2,70.0,100.0,50.0
226,cc,alien,annealing,0.2,70.0,100.0,50.0
227,cc,alien,annealing,0.2,70.0,100.0,50.0
228,cc,alien,annealing,0.2,70.0,100.0,50.0
229,cc,alien,annealing,0.2,70.0,100.0,50.0
230,cc,alien,annealing,0.2,70.0,100.0,50.0
231,cc,alien,annealing,0.2,70.0,100.0,50.0
232,cc,alien,annealing,0.2,70.0,100.0,50.0
233,cc,alien,annealing,0.2,70.0,100.0,50.0
234,cc,alien,annealing,0.2,70.0,100.0,50.0
235,cc,alien,annealing,0.2,70.0,100.0,50.0
236,cc,alien,annealing,0.2,70.0,100.0,50.0
237,cc,alien,annealing,0.2,70.0,100.0,50.0
238,cc,alien,annealing,0.2,70.0,100.0,50.0
239,cc,alien,annealing,0.2,70.0,100.0,50.0
240,cc,alien,annealing,0.2,70.0,100.0,50.0
241,cc,alien,annealing,0.2,70.0,100.0,50.0
242,cc,alien,annealing,0.2,60.0,100.0,50.0
243,cc,alien,annealing,0.2,70.0,100.0,50.0
244,cc,alien,annealing,0.2,70.0,100.0,50.0
245,cc,alien,annealing,0.2,70.0,100.0,50.0
246,cc,alien,annealing,0.2,70.0,100.0,50.0
247,cc,alien,annealing,0.2,70.0,100.0,50.0
248,cc,alien,annealing,0.2,70.0,100.0,50.0
249,cc,alien,annealing,0.2,70.0,100.0,50.0
250,cc,alien,annealing,0.2,70.0,100.0,50.0
251,cc,alien,annealing,0.2,70.0,100.0,50.0
252,cc,alien,annealing,0.2,70.0,100.0,50.0
253,cc,alien,annealing,0.2,70.0,100.0,50.0
254,cc,alien,annealing,0.2,70.0,100.0,50.0
255,cc,alien,annealing,0.2,70.0,100.0,50.0
256,cc,alien,annealing,0.2,70.0,100.0,50.0
257,cc,alien,annealing,0.2,70.0,100.0,50.0
258,cc,alien,annealing,0.2,70.0,100.0,50.0
259,cc,alien,annealing,0.2,70.0,100.0,50.0
260,cc,alien,annealing,0.2,70.0,100.0,50.0
261,cc,alien,annealing,0.2,70.0,100.0,50.0
262,cc,alien,annealing,0.2,70.0,100.0,50.0
263,cc,alien,annealing,0.2,70.0,100.0,50.0
264,cc,alien,annealing,0.2,60.0,100.0,50.0
265,cc,alien,annealing,0.2,70.0,100.0,50.0
266,cc,alien,annealing,0.2,70.0,100.0,50.0
267,cc,alien,annealing,0.2,70.0,100.0,50.0
268,cc,alien,annealing,0.2,70.0,100.0,50.0
269,cc,alien,annealing,0.2,70.0,100.0,50.0
270,cc,alien,annealing,0.2,60.0,100.0,50.0
271,cc,alien,annealing,0.2,70.0,100.0,50.0
272,cc,alien,annealing,0.2,60.0,100.0,50.0
273,cc,alien,annealing,0.2,70.0,100.0,50.0
274,cc,alien,annealing,0.2,70.0,100.0,50.0
275,cc,alien,annealing,0.2,70.0,100.0,50.0
276,cc,alien,annealing,0.2,70.0,100.0,50.0
277,cc,alien,annealing,0.2,70.0,100.0,50.0
278,cc,alien,annealing,0.2,70.0,100.0,50.0
279,cc,alien,annealing,0.2,70.0,100.0,50.0
280,cc,alien,annealing,0.2,60.0,100.0,50.0
281,cc,alien,annealing,0.2,70.0,100.0,50.0
282,cc,alien,annealing,0.2,60.0,100.0,50.0
283,cc,alien,annealing,0.2,70.0,100.0,50.0
284,cc,alien,annealing,0.2,70.0,100.0,50.0
285,cc,alien,annealing,0.2,75.0,100.0,50.0
286,cc,alien,annealing,0.2,70.0,100.0,50.0
287,cc,alien,annealing,0.2,70.0,100.0,50.0
288,cc,alien,annealing,0.2,70.0,100.0,50.0
289,cc,alien,annealing,0.2,70.0,100.0,50.0
290,cc,alien,annealing,0.2,70.0,100.0,50.0
291,cc,alien,annealing,0.2,70.0,100.0,50.0
292,cc,alien,annealing,0.2,70.0,100.0,50.0
293,cc,alien,annealing,0.2,70.0,100.0,50.0
294,cc,alien,annealing,0.2,70.0,100.0,50.0
295,cc,alien,annealing,0.2,70.0,100.0,50.0
296,cc,alien,annealing,0.2,70.0,100.0,50.0
297,cc,alien,annealing,0.2,70.0,100.0,50.0
298,cc,alien,annealing,0.2,70.0,100.0,50.0
299,cc,alien,annealing,0.2,70.0,100.0,50.0
300,cc,alien,annealing,0.3,75.0,100.0,50.0
301,cc,alien,annealing,0.3,60.0,100.0,50.0
302,cc,alien,annealing,0.3,70.0,100.0,50.0
303,cc,alien,annealing,0.3,70.0,100.0,50.0
304,cc,alien,annealing,0.3,70.0,100.0,50.0
305,cc,alien,annealing,0.3,60.0,100.0,50.0
306,cc,alien,annealing,0.3,70.0,100.0,50.0
307,cc,alien,annealing,0.3,70.0,100.0,50.0
308,cc,alien,annealing,0.3,70.0,100.0,50.0
309,cc,alien,annealing,0.3,60.0,100.0,50.0
310,cc,alien,annealing,0.3,60.0,100.0,50.0
311,cc,alien,annealing,0.3,70.0,100.0,50.0
312,cc,alien,annealing,0.3,60.0,100.0,50.0
313,cc,alien,annealing,0.3,70.0,100.0,50.0
314,cc,alien,annealing,0.3,70.0,100.0,50.0
315,cc,alien,annealing,0.3,70.0,100.0,50.0
316,cc,alien,annealing,0.3,70.0,100.0,50.0
317,cc,alien,annealing,0.3,60.0,100.0,50.0
318,cc,alien,annealing,0.3,70.0,100.0,50.0
319,cc,alien,annealing,0.3,70.0,100.0,50.0
320,cc,alien,annealing,0.3,70.0,100.0,50.0
321,cc,alien,annealing,0.3,70.0,100.0,50.0
322,cc,alien,annealing,0.3,60.0,100.0,50.0
323,cc,alien,annealing,0.3,60.0,100.0,50.0
324,cc,alien,annealing,0.3,70.0,100.0,50.0
325,cc,alien,annealing,0.3,70.0,100.0,50.0
326,cc,alien,annealing,0.3,70.0,100.0,50.0
327,cc,alien,annealing,0.3,70.0,100.0,50.0
328,cc,alien,annealing,0.3,70.0,100.0,50.0
329,cc,alien,annealing,0.3,60.0,100.0,50.0
330,cc,alien,annealing,0.3,60.0,100.0,50.0
331,cc,alien,annealing,0.3,70.0,100.0,50.0
332,cc,alien,annealing,0.3,70.0,100.0,50.0
333,cc,alien,annealing,0.3,70.0,100.0,50.0
334,cc,alien,annealing,0.3,70.0,100.0,50.0
335,cc,alien,annealing,0.3,70.0,100.0,50.0
336,cc,alien,annealing,0.3,70.0,100.0,50.0
337,cc,alien,annealing,0.3,70.0,100.0,50.0
338,cc,alien,annealing,0.3,70.0,100.0,50.0
339,cc,alien,annealing,0.3,70.0,100.0,50.0
340,cc,alien,annealing,0.3,60.0,100.0,50.0
341,cc,alien,annealing,0.3,70.0,100.0,50.0
342,cc,alien,annealing,0.3,60.0,100.0,50.0
343,cc,alien,annealing,0.3,70.0,100.0,50.0
344,cc,alien,annealing,0.3,70.0,100.0,50.0
345,cc,alien,annealing,0.3,70.0,100.0,50.0
346,cc,alien,annealing,0.3,60.0,100.0,50.0
347,cc,alien,annealing,0.3,70.0,100.0,50.0
348,cc,alien,annealing,0.3,70.0,100.0,50.0
349,cc,alien,annealing,0.3,70.0,100.0,50.0
350,cc,alien,annealing,0.3,70.0,100.0,50.0
351,cc,alien,annealing,0.3,70.0,100.0,50.0
352,cc,alien,annealing,0.3,70.0,100.0,50.0
353,cc,alien,annealing,0.3,70.0,100.0,50.0
354,cc,alien,annealing,0.3,70.0,100.0,50.0
355,cc,alien,annealing,0.3,70.0,100.0,50.0
356,cc,alien,annealing,0.3,70.0,100.0,50.0
357,cc,alien,annealing,0.3,60.0,100.0,50.0
358,cc,alien,annealing,0.3,70.0,100.0,50.0
359,cc,alien,annealing,0.3,70.0,100.0,50.0
360,cc,alien,annealing,0.3,60.0,100.0,50.0
361,cc,alien,annealing,0.3,60.0,100.0,50.0
362,cc,alien,annealing,0.3,70.0,100.0,50.0
363,cc,alien,annealing,0.3,60.0,100.0,50.0
364,cc,alien,annealing,0.3,70.0,100.0,50.0
365,cc,alien,annealing,0.3,70.0,100.0,50.0
366,cc,alien,annealing,0.3,70.0,100.0,50.0
367,cc,alien,annealing,0.3,45.0,100.0,50.0
368,cc,alien,annealing,0.3,70.0,100.0,50.0
369,cc,alien,annealing,0.3,60.0,100.0,50.0
370,cc,alien,annealing,0.3,70.0,100.0,50.0
371,cc,alien,annealing,0.3,70.0,100.0,50.0
372,cc,alien,annealing,0.3,70.0,100.0,50.0
373,cc,alien,annealing,0.3,70.0,100.0,50.0
374,cc,alien,annealing,0.3,70.0,100.0,50.0
375,cc,alien,annealing,0.3,70.0,100.0,50.0
376,cc,alien,annealing,0.3,60.0,100.0,50.0
377,cc,alien,annealing,0.3,60.0,100.0,50.0
378,cc,alien,annealing,0.3,70.0,100.0,50.0
379,cc,alien,annealing,0.3,75.0,100.0,50.0
380,cc,alien,annealing,0.3,70.0,100.0,50.0
381,cc,alien,annealing,0.3,70.0,100.0,50.0
382,cc,alien,annealing,0.3,70.0,100.0,50.0
383,cc,alien,annealing,0.3,60.0,100.0,50.0
384,cc,alien,annealing,0.3,70.0,100.0,50.0
385,cc,alien,annealing,0.3,70.0,100.0,50.0
386,cc,alien,annealing,0.3,70.0,100.0,50.0
387,cc,alien,annealing,0.3,70.0,100.0,50.0
388,cc,alien,annealing,0.3,70.0,100.0,50.0
389,cc,alien,annealing,0.3,70.0,100.0,50.0
390,cc,alien,annealing,0.3,70.0,100.0,50.0
391,cc,alien,annealing,0.3,70.0,100.0,50.0
392,cc,alien,annealing,0.3,60.0,100.0,50.0
393,cc,alien,annealing,0.3,70.0,100.0,50.0
394,cc,alien,annealing,0.3,70.0,100.0,50.0
395,cc,alien,annealing,0.3,70.0,100.0,50.0
396,cc,alien,annealing,0.3,70.0,100.0,50.0
397,cc,alien,annealing,0.3,70.0,100.0,50.0
398,cc,alien,annealing,0.3,60.0,100.0,50.0
399,cc,alien,annealing,0.3,70.0,100.0,50.0
400,cc,alien,annealing,0.4,70.0,100.0,50.0
401,cc,alien,annealing,0.4,70.0,100.0,50.0
402,cc,alien,annealing,0.4,60.0,100.0,50.0
403,cc,alien,annealing,0.4,70.0,100.0,50.0
404,cc,alien,annealing,0.4,70.0,100.0,50.0
405,cc,alien,annealing,0.4,70.0,100.0,50.0
406,cc,alien,annealing,0.4,60.0,100.0,50.0
407,cc,alien,annealing,0.4,70.0,100.0,50.0
408,cc,alien,annealing,0.4,70.0,100.0,50.0
409,cc,alien,annealing,0.4,70.0,100.0,50.0
410,cc,alien,annealing,0.4,70.0,100.0,50.0
411,cc,alien,annealing,0.4,70.0,100.0,50.0
412,cc,alien,annealing,0.4,70.0,100.0,50.0
413,cc,alien,annealing,0.4,60.0,100.0,50.0
414,cc,alien,annealing,0.4,70.0,100.0,50.0
415,cc,alien,annealing,0.4,70.0,100.0,50.0
416,cc,alien,annealing,0.4,70.0,100.0,50.0
417,cc,alien,annealing,0.4,60.0,100.0,50.0
418,cc,alien,annealing,0.4,60.0,100.0,50.0
419,cc,alien,annealing,0.4,60.0,100.0,50.0
420,cc,alien,annealing,0.4,70.0,100.0,50.0
421,cc,alien,annealing,0.4,70.0,100.0,50.0
422,cc,alien,annealing,0.4,70.0,100.0,50.0
423,cc,alien,annealing,0.4,70.0,100.0,50.0
424,cc,alien,annealing,0.4,70.0,100.0,50.0
425,cc,alien,annealing,0.4,70.0,100.0,50.0
426,cc,alien,annealing,0.4,70.0,100.0,50.0
427,cc,alien,annealing,0.4,70.0,100.0,50.0
428,cc,alien,annealing,0.4,70.0,100.0,50.0
429,cc,alien,annealing,0.4,70.0,100.0,50.0
430,cc,alien,annealing,0.4,70.0,100.0,50.0
431,cc,alien,annealing,0.4,60.0,100.0,50.0
432,cc,alien,annealing,0.4,60.0,100.0,50.0
433,cc,alien,annealing,0.4,70.0,100.0,50.0
434,cc,alien,annealing,0.4,70.0,100.0,50.0
435,cc,alien,annealing,0.4,70.0,100.0,50.0
436,cc,alien,annealing,0.4,70.0,100.0,50.0
437,cc,alien,annealing,0.4,70.0,100.0,50.0
438,cc,alien,annealing,0.4,70.0,100.0,10.0
439,cc,alien,annealing,0.4,70.0,100.0,50.0
440,cc,alien,annealing,0.4,70.0,100.0,50.0
441,cc,alien,annealing,0.4,70.0,100.0,50.0
442,cc,alien,annealing,0.4,70.0,100.0,50.0
443,cc,alien,annealing,0.4,70.0,100.0,50.0
444,cc,alien,annealing,0.4,75.0,100.0,50.0
445,cc,alien,annealing,0.4,70.0,100.0,50.0
446,cc,alien,annealing,0.4,70.0,100.0,50.0
447,cc,alien,annealing,0.4,70.0,100.0,50.0
448,cc,alien,annealing,0.4,60.0,100.0,50.0
449,cc,alien,annealing,0.4,70.0,100.0,50.0
450,cc,alien,annealing,0.4,70.0,100.0,50.0
451,cc,alien,annealing,0.4,60.0,100.0,50.0
452,cc,alien,annealing,0.4,70.0,100.0,50.0
453,cc,alien,annealing,0.4,70.0,100.0,50.0
454,cc,alien,annealing,0.4,70.0,100.0,50.0
455,cc,alien,annealing,0.4,70.0,100.0,50.0
456,cc,alien,annealing,0.4,70.0,100.0,50.0
457,cc,alien,annealing,0.4,70.0,100.0,50.0
458,cc,alien,annealing,0.4,70.0,100.0,50.0
459,cc,alien,annealing,0.4,70.0,100.0,50.0
460,cc,alien,annealing,0.4,60.0,100.0,50.0
461,cc,alien,annealing,0.4,70.0,100.0,50.0
462,cc,alien,annealing,0.4,70.0,100.0,50.0
463,cc,alien,annealing,0.4,70.0,100.0,50.0
464,cc,alien,annealing,0.4,70.0,100.0,50.0
465,cc,alien,annealing,0.4,70.0,100.0,50.0
466,cc,alien,annealing,0.4,45.0,100.0,50.0
467,cc,alien,annealing,0.4,70.0,100.0,50.0
468,cc,alien,annealing,0.4,70.0,100.0,50.0
469,cc,alien,annealing,0.4,60.0,100.0,50.0
470,cc,alien,annealing,0.4,60.0,100.0,50.0
471,cc,alien,annealing,0.4,70.0,100.0,50.0
472,cc,alien,annealing,0.4,70.0,100.0,50.0
473,cc,alien,annealing,0.4,60.0,100.0,50.0
474,cc,alien,annealing,0.4,70.0,100.0,50.0
475,cc,alien,annealing,0.4,70.0,100.0,50.0
476,cc,alien,annealing,0.4,70.0,100.0,50.0
477,cc,alien,annealing,0.4,70.0,100.0,50.0
478,cc,alien,annealing,0.4,70.0,100.0,50.0
479,cc,alien,annealing,0.4,70.0,100.0,50.0
480,cc,alien,annealing,0.4,70.0,100.0,50.0
481,cc,alien,annealing,0.4,70.0,100.0,50.0
482,cc,alien,annealing,0.4,70.0,100.0,50.0
483,cc,alien,annealing,0.4,70.0,100.0,50.0
484,cc,alien,annealing,0.4,70.0,100.0,50.0
485,cc,alien,annealing,0.4,70.0,100.0,50.0
486,cc,alien,annealing,0.4,60.0,100.0,50.0
487,cc,alien,annealing,0.4,70.0,100.0,50.0
488,cc,alien,annealing,0.4,70.0,100.0,50.0
489,cc,alien,annealing,0.4,70.0,100.0,50.0
490,cc,alien,annealing,0.4,70.0,100.0,50.0
491,cc,alien,annealing,0.4,70.0,100.0,50.0
492,cc,alien,annealing,0.4,70.0,100.0,50.0
493,cc,alien,annealing,0.4,70.0,100.0,50.0
494,cc,alien,annealing,0.4,70.0,100.0,45.0
