idx,condition_dataset_name,condition_query_name,parameter_value,gpt-3.5-turbo,gpt-4,luminous-supreme-control_int100query
30,annealing,econ,0.9,1.1653116019404932,0.2639185455791925,0.4212831677186508
31,annealing,econ,1.0,1.3134510077914159,0.2796133294136365,0.6845862697523186
32,annealing,econ,1.1,1.0195231808137202,0.32835874515354824,0.517682617553648
33,annealing,econ,1.2,0.7055541853380327,0.14110840868380325,0.4508825054858512
34,annealing,econ,1.3,0.6762001216635398,0.06330417159351498,0.40402751077241894
35,annealing,econ,1.4,0.7573407304729844,0.24970661505751823,0.28518232174405633
36,annealing,econ,1.5,0.8072151137124037,0.3292074934725582,0.19587123720369415
37,annealing,econ,1.6,0.41547934654460006,0.21701389264461546,0.13341959183809737
38,annealing,econ,1.7,0.549632217361387,0.21905556611686916,0.550205452938962
39,annealing,econ,1.8,0.5445931199192451,0.016647579598086937,0.37181757726719433
40,annealing,econ,1.9,0.5959579126969068,0.08643509192408194,0.018059445464863266
41,annealing,econ,2.0,0.6184540449965348,0.09399120650539383,0.1086622895906526
42,annealing,sex,0.0,0.0,0.0,0.43966987275878544
43,annealing,sex,0.1,0.5832588319975023,0.0,0.5307122210774372
44,annealing,sex,0.2,0.6916330138884188,0.056001531848168654,0.35111686138278797
45,annealing,sex,0.3,0.41848504821405796,5.551115123125783e-17,0.08649220928515644
46,annealing,sex,0.4,0.4136663533745522,0.27170202958660294,0.1795413389065128
47,annealing,sex,0.5,0.4348067922973783,0.3278737279955057,0.19655443361099767
48,annealing,sex,0.6,0.47586788582789685,0.15334842625020073,0.196730306877426
49,annealing,sex,0.7,0.5798690904468129,0.26156329183285454,0.08802026081258774
50,annealing,sex,0.8,0.010838989019711143,0.17512712052705148,0.2366214129689237
51,annealing,sex,0.9,0.4886475298347732,0.4224871188761039,0.001398819711424082
52,annealing,sex,1.0,0.030523196752846538,0.2574851392658961,0.16684629281859564
53,annealing,sex,1.1,0.11497909815405638,0.33618579273610916,0.03383745545971273
54,annealing,sex,1.2,0.11821266742252634,0.550601741660057,0.04084200187357734
55,annealing,sex,1.3,0.07514983188875668,0.11180409994173424,0.21693646021194457
56,annealing,sex,1.4,0.053045612510634665,0.23304305925894564,0.23856777355328274
57,annealing,sex,1.5,0.15871755939343002,0.339042890756426,0.47947374511681407
58,annealing,sex,1.6,0.09279037393168954,0.3926324673834196,0.0430479416259808
59,annealing,sex,1.7,0.15047899654697838,0.1578751339471378,0.28907814395662257
60,annealing,sex,1.8,0.02824168285513684,0.13147853490468142,0.11604698235613409
61,annealing,sex,1.9,0.015615832531749252,0.04885742191249909,0.41354346823001364
62,annealing,sex,2.0,0.11735995620328366,0.28233099744190837,0.044430441639438545
63,top_p_var,alien,0.01,0.0,0.0,0.4396698727587856
64,top_p_var,alien,0.1,0.0,0.0,0.6913460897555489
65,top_p_var,alien,0.2,0.0,0.0,0.5485849642988495
66,top_p_var,alien,0.3,0.5730569091057786,0.0,0.05116534201249978
67,top_p_var,alien,0.4,0.8554362467752835,0.0,0.06705631549344293
68,top_p_var,alien,0.5,1.2925313261053069,0.0,0.03072834603233998
69,top_p_var,alien,0.6,1.5369969166226531,0.0,0.06279736763177901
70,top_p_var,alien,0.7,1.5054242421408581,0.0,0.21793587263479863
71,top_p_var,alien,0.8,1.3743696206157852,0.0,0.08355509347434653
72,top_p_var,alien,0.9,0.7252721565596443,0.0,0.22308098854785818
73,top_p_var,alien,1.0,0.9426963313978334,0.20953297056005002,0.0893622846945159
74,top_p_var,econ,0.01,0.0,0.0,0.0
75,top_p_var,econ,0.1,0.0,0.0,0.0
76,top_p_var,econ,0.2,0.0,0.0,0.0
77,top_p_var,econ,0.3,0.0,0.0,0.35069751521704345
78,top_p_var,econ,0.4,0.6859297910619769,0.32508296794631947,0.24455391420575456
79,top_p_var,econ,0.5,0.08377811679557734,0.38616939551857404,0.4671622093717497
80,top_p_var,econ,0.6,0.0358682741698122,0.2835657698926935,0.32109707455364056
81,top_p_var,econ,0.7,0.1589213599474002,0.3938689155918187,0.45681033134755467
82,top_p_var,econ,0.8,0.12885835202573648,0.31466892506931377,0.29128976822519803
83,top_p_var,econ,0.9,0.4854615553826902,0.16170913029361744,0.451305771838157
84,top_p_var,econ,1.0,0.03252948048098636,0.5167561848909007,0.36598344731139676
85,top_p_var,sex,0.01,0.0,0.0,0.43966987275878544
86,top_p_var,sex,0.1,0.0,0.0,0.43966987275878544
87,top_p_var,sex,0.2,0.0,0.0,0.07715820993112765
88,top_p_var,sex,0.3,0.6768585376380176,0.0,0.05962635803482752
89,top_p_var,sex,0.4,0.06307430023568439,0.0,0.24662916523420741
90,top_p_var,sex,0.5,0.4115554153188429,0.04889887565897061,0.2475430892309134
91,top_p_var,sex,0.6,0.3258745552928132,0.27258532467565344,0.0706193908863928
92,top_p_var,sex,0.7,0.3616349886074639,0.16601969195372424,0.08164494973656211
93,top_p_var,sex,0.8,0.4394163841990797,0.08179393810406899,0.19978518820327262
94,top_p_var,sex,0.9,0.4362805128592768,0.08052580267781961,0.2650143996943717
95,top_p_var,sex,1.0,0.4233768840030774,0.03119695217334617,0.23737862225765838
